job,salary,company
WEB前端,10-15K,文思海辉·金融
web前端,10-15K,汉克时代
web前端,10-15K,科蓝软件
web前端,15-30K,顺丰科技
web前端,15-25K,京东集团
WEB前端研发专家,30-50K·15薪,饿了么
web前端,25-40K,好未来
web前端,20-40K,阿里巴巴集团
PHP,10-15K,千索
php,8-16K,软通动力
PHP,18-30K,好未来
PHP,25-45K,唱吧
PHP研发工程师,15-30K,百度在线
平面设计,5-10K,家有购物集团
平面设计,10-15K,北京水象
平面设计师,7-12K,绫致时装
平面设计,5-10K,北京凡拓
平面设计,5-8K,先声互动
平面设计师（商业）,15-25K,陌陌
平面设计师,9-13K·13薪,省广博报堂北京分公司
平面设计,6-8K,星语心愿
市场营销,10-15K,宜信公司
市场营销经理,25-35K,立风科技
市场营销总监,25-40K,智诚安环
市场营销,13-18K,中国人寿
市场营销,10-15K,中国人寿
市场营销,6-11K,远行地产
UI设计师,6-12K,东道品牌集团
UI设计师,8-13K,东信北邮
UI设计师,20-30K,泰洋川禾
实习UI设计师,2-4K,绿盟科技
产品经理,15-25K·13薪,北京恒昌利通
产品经理,20-21K,VIPKID
产品经理,30-50K,美菜网
产品经理,12-24K,聚力传媒PPTV
策略产品经理（北京）,25-50K,饿了么公司
用户产品经理,30-60K,松果出行
产品经理,18-25K,数字认证
产品经理,10-15K,东方网景
行政主管,10-15K,漫域网
人事专员、主管、行政内勤,6-11K,中国平安综合金融集团
行政主管,4-6K,谊和医疗
人力行政专员/主管,6-8K,浩文世纪房地产广告
集团总部行政经理/主管,10-15K,第一资产
人事行政主管,7-12K,上海广拓
行政经理/主管/总监,8-13K,慧美人生
人事行政主管/专员,6-10K,辉展资产
人事行政主管,6-8K,莱克伟业
行政人事主管,6-8K,漫域网
人事行政主管,7-12K,上海广拓
销售专员,5-9K,潮宏基
销售代表,5-6K,雅昌艺术网
销售专员,9-14K,巴乐兔
销售专员,9-14K,华信金融
销售专员,13-23K,华信金融
销售专员,10-15K,宜信公司
总裁/总经理/董事长助理,6-10K,藤薰定制
总裁/总经理/董事长助理,8-13K,大易世
总裁/总经理/董事长助理,10-15K,世纪影业有限公司
总裁/总经理/董事长助理,20-40K,大韵和声文化公司
总裁/总经理/董事长助理,7-9K,新天译
总裁/总经理/董事长助理,8-12K,贴心医生
总裁/总经理/董事长助理,10-20K,企课网
总裁/总经理/董事长助理,8-13K,北京永鑫嘉诚安装公司
总裁/总经理/董事长助理,7-14K,北京航科睿达科技...
用友NC实施顾问-财务供应链方向,8-13K,北京西西科技有限...
财务咨询顾问,20-40K,用友网络科技
财务咨询顾问,5-8K,亿隆财务
用户运营经理（产品运营方向）,25-30K,VIPKID
资深产品运营师,15-20K,百度
高级产品运营,15-25K,滴滴出行
产品运营,5-7K,搜狗
数据产品运营,15-25K,大搜车
产品运营,15-20K,果粒科技
产品运营,8-15K,悦美网
线上产品运营,15-25K,北京菜鸟在线教育
产品总监,35-60K,神州租车
产品总监,30-50K,宝宝树
新媒体运营专员,6-8K,中公教育
新媒体运营,11-16K,VIPKID
新媒体运营,9-12K,跟谁学
新媒体运营,6-10K,旧城文化传媒
新媒体运营专员,5-9K,华图教育
web前端,15-25K,北京安达维尔科技...
web前端,15-30K,滴滴
web前端,15-30K,小米
web前端,25-35K,云图微动
web前端,15-30K,京东数字科技
web前端,11-17K·13薪,京东集团
web前端,7-14K,北唐
PHP工程师,17-30K,巨化集团
PHP,10-15K,企名片
PHP工程师,25-40K·14薪,好未来
PHP,15-30K,鸿合
PHP,18-30K,烽鸟出行
PHP工程师,20-40K,好未来
PHP,20-40K,鑫瑞天翔
平面设计,8-12K,北京千喜鹤
平面设计师,10-15K,好利来
平面设计,6-8K,录客传媒
平面设计师,7-12K,中公教育
平面设计,9-13K,君为
平面设计,8-12K,天图集团
平面设计,7-10K,中泰证券
平面设计,5-8K,乳婴堂
平面设计,6-8K,美信金融
平面设计,6-10K,易教阳光教育
UI设计师,10-15K,北京泰豪
产品经理,30-45K,小糖互联
产品经理,15-30K,京东物流
产品经理,12-24K·13薪,壁虎车险
搜索产品经理,20-40K·14薪,寺库
用户增长产品经理,25-50K,美术宝
产品经理,7-10K,中国知网
产品经理,15-28K,睿家科技
产品经理,15-20K,直真科技
平台型产品经理,12-20K,奇虎360
总裁/总经理/董事长助理,10-20K,善待集团
总裁/总经理/董事长助理,13-22K,华泰鼎盛
总裁/总经理/董事长助理,6-7K,千帆国际
副总裁/副总经理,20-30K,宝昌园林
财务咨询顾问,12-24K,华世咨询
财务咨询顾问,5-10K,盛壹丨商务
数据产品经理/数据产品运营,30-55K,京东集团
AI产品总监/经理,15-30K,探境科技
产品总监,15-25K,医视界
产品总监,20-40K,搜房网房天下
产品总监,35-50K,汇中财富
供应链产品总监,30-60K,瑞幸咖啡
产品总监,40-60K,蛋壳公寓
产品总监,35-55K,墨迹天气
新媒体运营,9-12K,鸿合
新媒体运营,8-13K,学魁榜教育
新媒体运营,8-16K,都仕雅阁
新媒体运营,8-13K,ARC
新媒体运营,11-20K,新东方在线
新媒体运营,7-10K,华图教育
新媒体运营,6-9K,优享健身
新媒体运营,10-15K,智者品牌
新媒体运营,4-6K,漫域网
新媒体运营,6-10K,中公教育
新媒体运营编辑,8-10K,北京蒙娜丽莎婚纱摄影
区块链新媒体运营,10-15K,OKCoin
Web前端工程师,20-40K·16薪,今日头条
web前端,20-30K,宜车时代/宜买车
web前端leader,13-24K,中审华会计师事务所
PHP工程师,15-20K,北京看购电影
平面设计师,8-10K,东易日盛
平面设计,4-6K,中海启航
平面设计,8-12K,爱慕股份有限公司
平面设计,6-10K,至慧学堂
平面设计,15-25K,ACG国际艺术
